,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
11,U001,0200794332,COST co,2020-03-23 13:42:26.031250000,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,22900.828999999998,
12,U001,0200020431,DEC us,2020-05-14 15:32:02.625000000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,122.30399999999999,
13,U001,0200769623,WAL-MAR associates,2020-03-19 13:06:48.062500000,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,537.4459999999999,
14,CA02,140105785,SHOPPE foundation,2020-04-20 02:29:07.812500000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2829.6,0-15
15,U001,0200769623,WAL-MAR ,2020-03-09 12:10:33.562500000,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,10160.276,
16,U001,0200769623,WAL-MAR foundation,2020-04-18 05:43:47.375000000,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,38780.217,
17,U001,0200772670,ASSOCIAT corporation,2020-04-23 08:07:05.164062500,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,122336.45199999998,
18,U001,0200900909,SYSCO systems,2020-04-11 08:08:07.140625000,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,22058.925,
19,U001,0200769623,WAL-MAR systems,2020-04-08 00:44:07.687500000,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,13791.085,
20,U001,0200726979,BJ'S  trust,2020-04-26 16:43:54.093750000,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,92.904,
21,U001,0200769623,WAL-MAR llc,2020-04-06 04:51:14.875000000,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,784.8050000000001,
22,U001,0200769623,WAL-MAR llc,2020-04-13 23:04:30.000000000,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,7976.388,
23,CA02,0140105847,GORDON F co,2020-04-23 22:48:22.625000000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,3685.2,0-15
24,U001,0200744019,TARG foundation,2020-03-28 15:50:01.703125000,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,36486.31,
25,U001,0200769623,WAL-MAR systems,2020-03-17 16:01:32.125000000,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,10495.806999999999,
26,U001,0200769623,WAL-MAR llc,2020-03-14 08:31:53.312500000,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,25.242,
27,U001,0200418007,AM in,2020-04-17 12:10:55.000000000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,18085.333,
28,U001,0200739006,AL foundation,2020-04-25 00:31:59.968750000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,3016.335,
29,U001,0100031704,DELHAIZE associates,2020-05-02 11:41:13.671875000,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,49126.749,0-15
30,U001,0200769623,WAL-MAR trust,2020-04-06 20:03:36.937500000,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,2382.66,
31,U001,0200744019,TARG systems,2020-05-09 12:37:30.812500000,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,7465.871,
32,U001,0200769623,WAL-MAR ,2020-03-31 03:39:58.406250000,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,5096.357,
33,U001,0200726979,BJ'S  corporation,2020-03-13 12:59:18.125000000,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,9577.19,
34,U001,0200706844,WINC associates,2020-04-23 12:48:23.265625000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,23763.495,0-15
35,U001,0200793830,M llc,2020-04-19 03:52:46.343750000,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,3175.998,
36,U001,0200769623,WAL-MAR foundation,2020-04-14 04:47:10.250000000,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,10049.171999999999,
37,U001,0200769623,WAL-MAR systems,2020-04-09 18:22:29.437500000,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,257.397,
38,U001,0200769623,WAL-MAR trust,2020-05-14 06:42:48.125000000,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,39399.33899999999,
39,U001,0200769623,WAL-MAR systems,2020-03-09 03:20:00.937500000,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,35345.702,
40,U001,0200769623,WAL-MAR llc,2020-04-30 16:32:54.593750000,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,10842.600999999999,
41,CA02,0140104423,METRO  llc,2020-03-13 15:05:49.531250000,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,133113.36,0-15
42,U001,0200726979,BJ'S  systems,2020-04-28 16:29:42.062500000,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,252.23099999999997,
43,U001,0200743996,STATER  llc,2020-05-08 20:56:50.312500000,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,2678.221,
44,U001,0200752302,KROGER trust,2020-04-12 12:40:30.937500000,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,67671.83499999999,
45,CA02,140105686,SYSC llc,2020-05-26 22:46:43.625000000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,61757.57,0-15
46,U001,0200711029,WEGMAN corp,2020-04-19 15:33:22.203125000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,10067.553999999998,0-15
47,CA02,CCU001,KRAFT  corporation,2020-05-03 00:37:22.750000000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,25468.67,0-15
48,U001,0200769623,WAL-MAR llc,2020-04-30 17:58:45.031250000,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,24856.964999999997,
49,U001,0200769623,WAL-MAR associates,2020-04-13 08:34:34.937500000,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,9458.827,
50,U001,0200772670,ASSOCIAT corp,2020-04-06 12:31:30.351562500,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,17094.931,
51,U001,0200769623,WAL-MAR co,2020-04-28 20:21:51.031250000,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,7852.130999999999,
52,U001,0200769623,WAL-MAR systems,2020-04-22 01:30:01.843750000,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,8787.891,
53,U001,0200720238,WOODM co,2020-05-21 04:16:57.996093750,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,88843.321,0-15
54,CA02,140106408,WAL-M in,2020-05-16 23:07:12.375000000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,40768.12,0-15
55,U001,0200769623,WAL-MAR co,2020-04-09 01:43:13.250000000,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,17384.43,
56,U001,0200769623,WAL-MAR us,2020-03-25 09:46:51.812500000,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,35141.981,
57,U001,0200769623,WAL-MAR us,2020-04-09 05:25:28.062500000,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,5809.79,
58,U001,0200799367,MCL corporation,2020-04-05 18:25:10.921875000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,36121.490999999995,
59,U001,0200759878,SA co,2020-04-25 21:44:23.781250000,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,13230.693000000001,
60,U001,0200794332,COST corp,2020-03-24 17:49:43.343750000,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,34627.38999999999,
61,U001,0200515231,US  us,2020-04-26 17:05:17.031250000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,7131.361999999999,0-15
62,U001,0200782669,SYGMA corp,2020-03-25 11:55:12.703125000,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,166.18,
63,U001,200769623,WAL-MAR foundation,2020-05-19 12:40:49.250000000,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,8072.987999999999,
64,U001,0200769623,WAL-MAR ,2020-04-03 03:58:58.343750000,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,14012.543999999998,
65,U001,0200331749,SYSC foundation,2020-03-12 17:35:52.273437500,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,3724.595,
66,U001,0200772670,ASSOCIAT associates,2020-05-07 01:31:25.953125000,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,21630.581,
67,U001,0200772670,ASSOCIAT us,2020-04-14 02:34:29.515625000,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,46090.28199999999,
68,U001,0200706844,WINC foundation,2020-03-17 18:17:29.718750000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,251.60799999999998,
69,U001,0100043975,JAVA ,2020-04-17 00:23:19.390625000,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,999.1519999999998,
70,U001,0200762301,C&S WH in,2020-03-14 11:08:18.406250000,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,69364.197,
71,U001,0200148860,DOLLA associates,2020-05-28 20:25:47.312500000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,4580.407999999999,
72,CA02,0100027744,OMEGA AD in,2020-06-03 20:35:48.000000000,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,7035.0,16-30
73,U001,0100031704,DELHAIZE co,2020-03-17 12:23:51.101562500,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,74475.92599999999,0-15
74,U001,0200799420,HT HA foundation,2020-04-16 01:03:27.937500000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,560.77,0-15
75,U001,0200974851,RESTA systems,2020-04-06 04:13:28.343750000,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,2496.683,
76,U001,0200769623,WAL-MAR in,2020-05-07 17:01:13.562500000,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,6219.898999999999,
77,U001,0200793568,SUPE llc,2020-03-20 17:13:15.687500000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,11125.288999999999,
78,U001,0200759878,SA foundation,2020-03-16 12:39:13.343750000,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,49126.56,
79,U001,0200712187,SPAR in,2020-05-02 01:56:04.500000000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,83569.052,
80,U001,0100047532,KEYSTON associates,2020-04-02 11:42:16.000000000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,8296.778,0-15
81,U001,0200794332,COST co,2020-03-15 01:35:47.718750000,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,7857.794,
82,U001,0200148860,DOLLA associates,2020-05-19 17:10:24.312500000,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,3819.725,
83,U001,200794332,COST llc,2020-05-18 22:49:13.062500000,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,57050.602,
84,U001,0200555117,BURR trust,2020-04-05 02:58:01.375000000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,524.3979999999999,
85,U001,200769623,WAL-MAR in,2020-05-16 23:12:49.000000000,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,1553.9229999999998,
86,U001,0200772670,ASSOCIAT corp,2020-04-02 10:13:46.640625000,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,10842.846,
87,U001,200707822,PUBLI corporation,2020-05-14 07:08:13.875000000,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,88275.537,
88,CA02,0140104392,FLANAG us,2020-04-03 04:30:02.250000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,3612.39,0-15
89,U001,0200769623,WAL-MAR corp,2020-05-07 16:14:55.062500000,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8081.765999999999,
90,U001,0200759878,SA systems,2020-04-11 19:12:03.750000000,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,33352.598999999995,
91,U001,0200705742,DOT foundation,2020-03-04 01:29:54.937500000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,4152.757,
92,U001,200793568,SUPE trust,2020-04-04 00:24:54.656250000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1145.032,
93,U001,0200726979,BJ'S  ,2020-03-22 19:22:32.312500000,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,900.4099999999999,
94,U001,0200704858,WAKE corp,2020-04-22 09:22:05.671875000,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,69697.894,
95,U001,0200780383,MEIJ in,2020-03-30 05:26:55.953125000,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,2528.841,
96,U001,0200762301,C&S WH associates,2020-04-21 07:12:59.343750000,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAC6,71593.22799999999,
97,CA02,0140106271,LONGO  in,2020-04-20 14:45:59.062500000,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-07 00:00:00.000000000,CA10,12307.79,0-15
98,CA02,0140104423,METRO  us,2020-05-05 06:03:42.125000000,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-21 00:00:00.000000000,CA10,64370.78,0-15
99,U001,0200741174,M B  co,2020-03-29 23:47:39.906250000,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAA8,4037.4809999999998,
100,CA02,0100030194,AMAZO llc,2020-04-06 20:27:41.687500000,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-20 00:00:00.000000000,CA10,14073.81,0-15
101,U001,0200769623,WAL-MAR trust,2020-04-08 23:57:06.187500000,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,29665.880999999998,
102,U001,0200592182,DECA in,2020-04-29 17:58:58.312500000,2020.0,1930822583.0,2020-04-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,1233.2879999999998,
103,U001,0200743996,STATER  co,2020-04-02 17:56:21.687500000,2020.0,1930686889.0,2020-03-22 00:00:00.000000000,2020-04-06 00:00:00.000000000,2020-03-22 00:00:00.000000000,NAA8,66228.421,
104,U001,0200769623,WAL-MAR in,2020-04-24 18:26:22.843750000,2020.0,1930787980.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAH4,15558.444999999998,
105,U001,0200749782,KROG associates,2020-05-07 00:59:40.203125000,2020.0,1930822131.0,2020-04-25 00:00:00.000000000,2020-05-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,NAA8,61951.40699999999,
106,U001,0200744019,TARG corp,2020-05-14 06:40:57.140625000,2020.0,1930641073.0,2020-03-13 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAGD,1387.4419999999998,
107,U001,0200769623,WAL-MAR foundation,2020-04-30 21:47:57.968750000,2020.0,1930804577.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,1628.2559999999999,
108,U001,0200705742,DOT us,2020-03-07 02:54:05.750000000,2020.0,1930592413.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,6875.665999999999,
109,U001,0200744019,TARG trust,2020-05-16 13:42:40.000000000,2020.0,1930857489.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAA8,20714.693999999996,
110,U001,0200772670,ASSOCIAT associates,2020-04-17 01:43:14.750000000,2020.0,1930739252.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAU5,33532.632,
111,U001,0200769623,WAL-MAR corporation,2020-04-02 19:45:10.468750000,2020.0,1930692953.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,1329.23,
112,U001,0200900909,SYSCO in,2020-04-13 14:37:09.281250000,2020.0,1930741081.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,5266.919,
113,U001,0200424504,M  in,2020-04-25 16:40:54.562500000,2020.0,1930830032.0,2020-04-28 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-04-15 00:00:00.000000000,NACG,1699.628,0-15
114,U001,0100031704,DELHAIZE trust,2020-06-19 15:25:36.839843750,2020.0,1930794735.0,2020-04-16 00:00:00.000000000,2020-06-20 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAGD,823.6129999999999,
115,U001,0200764795,SYSCO  us,2020-04-16 22:32:20.390625000,2020.0,1930637455.0,2020-03-18 00:00:00.000000000,2020-04-19 00:00:00.000000000,2020-03-18 00:00:00.000000000,NA32,7684.956999999999,
116,U001,0200337148,COAS systems,2020-03-12 14:23:37.218750000,2020.0,1930587342.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,31589.452999999998,
117,U001,0200416837,DEC llc,2020-03-14 09:03:51.812500000,2020.0,1930599382.0,2020-03-04 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAM4,278.712,
118,U001,0200769623,WAL-MAR llc,2020-03-17 08:39:19.187500000,2020.0,1930623646.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAH4,41108.346999999994,
119,U001,0200726979,BJ'S  associates,2020-03-22 14:26:27.531250000,2020.0,1930645815.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,411.943,
120,U001,0200721222,GO us,2020-04-30 04:45:08.625000000,2020.0,1930800642.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,17979.549,
121,U001,0200772595,SAFEW corporation,2020-04-12 03:34:38.437500000,2020.0,1930729101.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,7014.097999999999,
122,U001,0200820380,SMITH'S trust,2020-04-10 08:36:30.093750000,2020.0,1930716191.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAA8,33616.079,
123,U001,0200793568,SUPE corporation,2020-04-27 12:54:27.132812500,2020.0,1930779652.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAA8,25636.121,
124,U001,0200706844,WINC corp,2020-04-11 23:40:36.343750000,2020.0,1930732708.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAA8,15851.170999999998,
